axis, Smartphone, Tablet
"Email",0.59,0.48
"Social Networks",0.56,0.41
"Internet Banking",0.42,0.27
"News Sportsites",0.34,0.28
"Search Engine",0.48,0.46
"View Shopping sites",0.14,0.29
"Paying Online",0.11,0.11
"Buy Online",0.05,0.14
"Stream Music",0.07,0.05
"Online Gaming",0.12,0.19
"Navigation",0.27,0.14
"App connected to TV program",0.03,0.06
"Offline Gaming",0.12, 0.24
"Photo Video",0.4,0.17
"Reading",0.03,0.15
"Listen Music",0.22,0.12
"Watch TV",0.03,0.1
"TV Movies Streaming",0.03,0.14
"Listen Radio",0.07,0.06
"Sending Money",0.18,0.16
"Other",0.07,0.07
"Use less Once week",0.08, 0.17